Traits,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour,Fruit Colour,Fruit Colour,Crown,Crown,Crown,Fruit Size,Fruit Size,Fruit Size,Fruit Shape,Fruit Shape,Fruit Shape,Conspicuousness,Conspicuousness,Conspicuousness,Measurement,Measurement,Measurement
Species,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1
Chamaedorea pauciflora,0.75,0.9833333333333334,0.8248587570621468,0.6666666666666666,0.9090909090909092,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.3636363636363636,nan,nan,nan
Chamaedorea pochutlensis,0.55,0.85,0.5026737967914439,0.625,0.8636363636363636,0.6210526315789474,1.0,1.0,1.0,nan,nan,nan,0.6666666666666666,0.8333333333333333,0.65,nan,nan,nan
Chamaedorea pygmaea,0.6666666666666666,0.9666666666666667,0.7327586206896552,0.6666666666666666,0.9090909090909092,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9166666666666667,0.7878787878787878,nan,nan,nan
Chamaedorea rojasiana,0.75,0.9464285714285714,0.8050314465408805,0.7,0.85,0.6974789915966386,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.25,0.3,nan,nan,nan
Chamaedorea sartorii,0.6666666666666666,0.9666666666666667,0.7327586206896552,0.6666666666666666,0.9090909090909092,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9166666666666667,0.7878787878787878,nan,nan,nan
Chamaedorea simplex,0.4827586206896552,0.4666666666666667,0.47457627118644075,0.45,0.4090909090909091,0.4285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.3636363636363636,nan,nan,nan
Chamaedorea tepejilote,0.9666666666666667,0.6666666666666666,0.7327586206896552,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.4,0.3333333333333333,0.3636363636363636,nan,nan,nan
Chamaedorea tuerckheimii,0.6666666666666666,0.9666666666666667,0.7327586206896552,0.6666666666666666,0.9090909090909092,0.7,1.0,1.0,1.0,nan,nan,nan,0.75,0.9166666666666667,0.7878787878787878,nan,nan,nan
Chamaedorea warscewiczii,0.5833333333333334,0.9166666666666667,0.5974025974025974,0.625,0.8636363636363636,0.6210526315789474,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9166666666666667,0.7878787878787878,nan,nan,nan
Cocos nucifera,0.712962962962963,0.712962962962963,0.712962962962963,0.7,0.7,0.7,nan,nan,nan,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Cryosophila stauracantha,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Cyrtostachys elegans,0.7327586206896552,0.7327586206896552,0.7327586206896552,0.7,0.7,0.7,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan
