Species,All Traits, , ,Without N/As,,,N/A Percentage
 ,Precision,Recall,F1-Score,Precision,Recall,F1-Score, 
Boscia salicifolia,0.829978813559322,0.6951143125587222,0.7290844324636565,0.854301948051948,0.7886904761904763,0.8144385996734989,0.30434782608695654
Boscia senegalensis,0.8263888888888888,0.594949494949495,0.5983462532299741,0.9026162790697674,0.8378048780487805,0.8650793650793651,0.6956521739130435
Boswellia dalzielii,0.6870967741935483,0.5682352941176471,0.5649350649350648,0.7333333333333334,0.7034883720930232,0.7159090909090908,0.6086956521739131
Boswellia papyrifera,0.6666666666666667,0.6247947454844007,0.6378715869909608,0.6890243902439024,0.6890243902439024,0.6890243902439024,0.30434782608695654
Breonadia salicina,0.8548245614035088,0.7427242724272427,0.7765686704695041,0.8610465116279069,0.7843406593406593,0.8114837398373984,0.21739130434782608
Bridelia ferruginea,0.8754740834386852,0.7855769230769231,0.8183789644890214,0.8991596638655461,0.8732320586694604,0.8852813852813852,0.21739130434782608
Bridelia micrantha,0.8575757575757577,0.7832283228322832,0.8105928327928826,0.8723628691983123,0.8440545808966862,0.8566729917773561,0.21739130434782608
Bridelia scleroneura,0.8301462317210349,0.5919198246163483,0.6013729977116704,0.880184331797235,0.8160919540229885,0.8416666666666667,0.7391304347826086
Burkea africana,0.7835249042145593,0.6854055746946446,0.7127947069238655,0.814957264957265,0.8030427631578947,0.8087156924366228,0.34782608695652173
Cadaba farinosa,0.8569915254237288,0.7022202220222022,0.7377690802348336,0.8793604651162791,0.7788461538461539,0.8134146341463415,0.30434782608695654
Cadaba glandulosa,0.6610169491525424,0.5998357963875205,0.6127553562531142,0.6807692307692308,0.6727941176470589,0.6765327695560254,0.391304347826087
Cajanus cajan,0.7375286041189931,0.6663461538461539,0.6878203336128972,0.75,0.7247820672478207,0.7356359469634965,0.30434782608695654
Cajanus kerstingii,0.5763888888888888,0.5241152521139993,0.5048706751763521,0.625,0.6385281385281385,0.6307692307692307,0.6956521739130435
Calotropis procera,0.8243697478991596,0.6855769230769231,0.7195814648729446,0.8436619718309859,0.7772727272727273,0.802711157455683,0.34782608695652173
Capparis decidua,0.7380952380952381,0.6313628899835796,0.6537467700258398,0.7767857142857143,0.7767857142857143,0.7767857142857143,0.5217391304347826
Capparis fascicularis,0.7279693486590039,0.6563218390804597,0.6774814672186387,0.7414529914529915,0.7152380952380952,0.7264957264957265,0.30434782608695654
Capparis sepiaria,0.6406162464985994,0.5688048245614035,0.5648968845985081,0.6507246376811594,0.6083333333333333,0.6159809183064997,0.391304347826087
Capparis tomentosa,0.7968815844922039,0.7033189033189033,0.72911051212938,0.8238095238095238,0.7960199004975124,0.808110300081103,0.30434782608695654
Carica papaya,0.8348416289592759,0.7040441176470589,0.7377690802348336,0.8795066413662238,0.8642987249544627,0.8715447154471545,0.391304347826087
Carissa edulis,0.7613095238095238,0.6317131713171317,0.6516799845961297,0.7988095238095239,0.7590299277605779,0.7755720981527433,0.4782608695652174
Cassia arereh,0.7017777777777778,0.5859848484848484,0.6025789813023855,0.7436868686868687,0.7680555555555555,0.7547918043621944,0.6086956521739131
Cassia sieberiana,0.68350930115636,0.6229784366576819,0.6394618834080718,0.7273924495171202,0.7642857142857142,0.7428773251707088,0.391304347826087
Ceiba pentandra,0.775438596491228,0.6966802380206703,0.7215144122164994,0.7802325581395348,0.7317307692307693,0.750130958617077,0.17391304347826086
Celtis integrifolia,0.840042372881356,0.6788799108386737,0.7060114085125055,0.865036231884058,0.7752732240437159,0.8038461538461539,0.34782608695652173
Cissus populnea,0.7370967741935484,0.5848484848484848,0.5860488290981565,0.8151162790697675,0.8151162790697675,0.8151162790697675,0.5652173913043478
Cissus quadrangularis,0.8048245614035088,0.7176636392107736,0.7457305502846301,0.8328313253012047,0.8100448933782267,0.8205574912891986,0.21739130434782608
Citrus aurantifolia,0.8726190476190476,0.6806637806637807,0.7127947069238655,0.9217325227963526,0.8709893048128342,0.8918823112371499,0.4782608695652174
Citrus grandis,0.8321678321678322,0.6567656765676567,0.6850763807285546,0.8527644230769231,0.7574561403508773,0.787878787878788,0.5217391304347826
Citrus limon,0.8239033693579147,0.6470418470418471,0.6700757575757575,0.8293269230769231,0.7206119162640902,0.7462335216572504,0.43478260869565216
Citrus reticulata,0.7983716475095786,0.6797979797979798,0.7060114085125055,0.7973395931142411,0.7270011947431302,0.747201336675021,0.34782608695652173
Citrus sinensis,0.7638888888888888,0.5782352941176471,0.5764854614412137,0.7972222222222223,0.7057692307692307,0.7327731092436975,0.6521739130434783
Clausena anisata,0.7940613026819923,0.6740362811791383,0.6985115957078574,0.8230994152046784,0.763095238095238,0.7853881278538812,0.391304347826087
Clerodendrum thyrsoideum,0.7027459954233409,0.6214364035087719,0.6323272636567723,0.7428728070175439,0.7428728070175439,0.7428728070175439,0.4782608695652174
Cola cordifolia,0.88671875,0.5857142857142857,0.5824648114322553,0.9833333333333334,0.9285714285714286,0.953063885267275,0.7391304347826086
Cola laurifolia,0.90625,0.6,0.6149425287356323,0.9814814814814814,0.9285714285714286,0.9521044992743106,0.7391304347826086
Combretum aculeatum,0.8647597254004576,0.725907029478458,0.7597951344430218,0.8873684210526316,0.8122171945701357,0.8393162393162393,0.30434782608695654
Combretum adenogonium,0.8339654445849136,0.7377737773777377,0.7680858428521979,0.858095238095238,0.8263888888888888,0.8403628117913833,0.2608695652173913
Combretum collinum,0.7684210526315789,0.6634159933129005,0.6839622641509433,0.7817543859649123,0.7219458264234384,0.7409675443968157,0.30434782608695654
Combretum glutinosum,0.7144808743169399,0.5874895514070773,0.5879228403690244,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6086956521739131
Combretum lecardii,0.8721804511278195,0.5142857142857142,0.4545019157088123,1.0,1.0,1.0,0.9565217391304348
Combretum micranthum,0.7696428571428571,0.6418728468524898,0.6661684105630294,0.8258928571428572,0.8437990580847724,0.8342878961435662,0.5652173913043478
Combretum molle,0.8011563599798894,0.6835171568627452,0.7127947069238654,0.8310708898944192,0.7824967824967826,0.8026315789473685,0.30434782608695654
Combretum nigricans,0.8796992481203008,0.5151515151515151,0.461035696329814,0.9285714285714286,0.75,0.7948717948717948,0.9565217391304348
Combretum nioroense,0.8324444444444444,0.6060090702947846,0.6127553562531141,0.9206349206349206,0.8878048780487805,0.9029803424223208,0.6086956521739131
Combretum paniculatum,0.6947368421052631,0.6258503401360545,0.6388140161725068,0.7406779661016949,0.7491228070175439,0.7446670976082741,0.391304347826087
Combretum tomentosum,0.5377604166666666,0.5083694083694084,0.4672826904480498,0.5614035087719298,0.5411764705882353,0.5416666666666666,0.7391304347826086
Commiphora africana,0.62890625,0.5291176470588235,0.5004385964912281,0.6842105263157895,0.6458333333333333,0.6602316602316601,0.7391304347826086
Commiphora kerstingii,0.62890625,0.5291176470588235,0.5004385964912281,0.6710526315789473,0.6238095238095238,0.6383561643835617,0.7391304347826086
Commiphora pedunculata,0.593452380952381,0.5453102453102453,0.5379740937470879,0.621978021978022,0.6010928961748634,0.6081349206349206,0.43478260869565216
Cordia africana,0.7828947368421053,0.6828231292517007,0.7065363881401617,0.8232758620689655,0.7823795180722892,0.7997326203208556,0.2608695652173913
Cordia myxa,0.8734553775743708,0.74,0.7765686704695041,0.9019138755980861,0.8278048780487806,0.856951871657754,0.21739130434782608
Cordia sinensis,0.840042372881356,0.6788799108386737,0.7060114085125055,0.859577922077922,0.7543053960964409,0.7847222222222223,0.34782608695652173
Cordyla pinnata,0.7792145593869731,0.6786151960784313,0.704954128440367,0.7777777777777778,0.7215384615384616,0.7402817857749109,0.30434782608695654
Crateva adansonii,0.7757798165137615,0.7353585969307861,0.7516846361185985,0.8052777777777778,0.833030303030303,0.8174844405847446,0.30434782608695654
Crescentia cujete,0.8197711379529562,0.6425736961451247,0.662845960301929,0.8343672456575683,0.7311320754716981,0.7577639751552795,0.43478260869565216
Crossopteryx febrifuga,0.8954233409610983,0.7448979591836735,0.7826717883055911,0.9152426520847573,0.8260869565217391,0.8570577724836212,0.30434782608695654
Croton gratissimus,0.8134741075917546,0.673725271663416,0.6985115957078575,0.8149905123339658,0.7409288824383164,0.7603640040444893,0.34782608695652173
Croton macrostachyus,0.8276515151515151,0.7544117647058823,0.7799671592775042,0.8443627450980392,0.8275058275058275,0.8352238805970149,0.2608695652173913
Croton psedopulchellus,0.7199084668192219,0.6663205261336103,0.6850763807285547,0.736140350877193,0.736140350877193,0.736140350877193,0.30434782608695654
Cussonia arborea,0.892478813559322,0.7223222322232223,0.7627434535458019,0.9110576923076923,0.8053571428571429,0.8412162162162162,0.30434782608695654
Cynometra vogelii,0.7200520833333333,0.5507050705070506,0.5348785130444519,0.8,0.8,0.8,0.7391304347826086
Dalbergia boehmii,0.8095238095238095,0.6628562480425932,0.692874937717987,0.8616071428571428,0.8428571428571427,0.8517512897094759,0.43478260869565216
Dalbergia melanoxylon,0.7471590909090908,0.6726190476190477,0.6919540229885057,0.7837662337662337,0.7753623188405797,0.7793764988009593,0.30434782608695654
Dalbergia sissoo,0.7193486590038314,0.6434387723144379,0.662845960301929,0.7455555555555555,0.7270547945205479,0.7354196301564723,0.30434782608695654
Daniellia oliveri,0.7940613026819923,0.6740362811791383,0.6985115957078574,0.8271604938271605,0.765,0.7884615384615384,0.2608695652173913
Delonix regia,0.7590042372881356,0.6531475101785156,0.6774814672186387,0.7857789855072463,0.7515948963317385,0.7661375661375661,0.34782608695652173
Detarium microcarpum,0.7418764302059496,0.6735632183908046,0.6954545454545455,0.763157894736842,0.7533333333333333,0.7580234335201222,0.30434782608695654
Detarium senegalense,0.7255952380952382,0.6161151960784313,0.6325891108499804,0.7571428571428571,0.7121212121212122,0.7297794117647058,0.391304347826087
